event_id,date,event_type,source_credibility,cartel_name,faction,target_type,state,municipality,region_type,lat,lon,killed_count,killed_civilians,killed_security_forces,killed_cartel,arrested_count,missing_count,drugs_seized_kg,drug_type,cash_seized_usd,weapons_seized,us_involvement,us_agency,trump_policy_trigger,source_url,event_summary
MEX-011,2025-11-03,operation,major_outlet,Sinaloa,Los Mayos,military,Sinaloa,Culiacan,urban,24.8091,-107.394,13,0,0,13,0,0,0,unknown,0,0,no,none,no,https://www.reuters.com/world/americas/mexico-authorities-kill-13-face-off-cartel-plagued-state-2025-11-04/,Mexican security forces ambushed by armed Sinaloa cartel group. 13 attackers killed in Sinaloa state confrontation.
MEX-012,2024-10-15,arrest,government,Los Zetas / CDN,Cartel del Noreste,cartel_leader,Tamaulipas,Nuevo Laredo,border,27.4756,-99.5075,0,0,0,0,2,0,0,mixed,0,0,yes,DEA,no,https://www.dea.gov/press-releases/2024/10/16/leaders-dangerous-mexican-drug-cartel-responsible-extreme-violence,"DEA indicts Los Zetas/CDN brothers Miguel (Z-40) and Omar (Z-42) Trevino Morales for decades of violence, murder, and drug trafficking."
MEX-013,2024-07-25,arrest,government,Sinaloa,Los Chapitos,cartel_leader,Sonora,El Paso border,border,31.7619,-106.485,0,0,0,0,1,0,0,unknown,0,0,yes,DEA,no,https://www.dea.gov/cartels,Joaquin Guzman Lopez (El Chapo's son) self-surrendered to US federal authorities alongside El Mayo. Key trigger of Sinaloa internal war.
MEX-014,2025-07-25,mass_violence,major_outlet,Sinaloa,Los Chapitos,rival_cartel,Sinaloa,Culiacan,urban,24.8091,-107.394,400,80,20,300,0,500,0,mixed,0,0,no,none,no,https://www.ecoi.net/en/document/2130453.html,One year after El Mayo arrest — civilian targeting and gang clashes almost quadrupled. Cumulative violence milestone recorded by ACLED.
MEX-015,2025-09-01,killing,major_outlet,Sinaloa,Los Mayos,rival_cartel,Sinaloa,Culiacan,urban,24.8091,-107.394,1828,350,78,1400,0,2390,0,mixed,0,0,no,none,no,https://efe.com/en/other-news/2025-09-10/sinaloas-year-of-cartel-violence-leaves-more-than-1800-dead-and-2300-missing/,ACLED spike recorded — September 2025 marked official onset of full Sinaloa civil war. Homicides rose 400% compared to pre-El Mayo arrest levels.
MEX-016,2023-01-01,operation,government,Sinaloa,main,civilian,Border,San Diego / Pima,border,32.7157,-117.1611,0,0,0,0,0,0,9909,fentanyl,0,0,yes,CBP,no,https://www.wilsoncenter.org/article/fentanyl-seizures-southwest-border-breakdown-cbp-areas-responsibility,"US CBP records peak fentanyl seizure year — 21,846 lbs (9,909 kg) seized at Mexico-US border in FY2023, 164% increase since 2020. Sinaloa and CJNG dominant suppliers."
MEX-017,2025-03-01,operation,government,Sinaloa,main,civilian,Border,San Diego,border,32.7157,-117.1611,0,0,0,0,0,0,345,fentanyl,0,0,yes,CBP,yes,https://www.americanimmigrationcouncil.org/fact-sheet/fentanyl-smuggling/,"Fentanyl seizures at US-Mexico border drop sharply to 760 lbs in March 2025, down from 3,220 lbs peak in April 2023. Reflects shift in trafficking patterns."
MEX-018,2026-02-23,mass_violence,major_outlet,CJNG,main,civilian,Jalisco,Multiple,urban,20.6597,-103.3496,70,15,25,30,0,0,0,unknown,0,0,no,none,no,https://www.opb.org/article/2026/02/24/soldiers-clash-cartel-gunmen-after-mexico-military-killed-top-drug-lord/,Post El Mencho killing — soldiers continue clash with CJNG for second day. Total post-killing death toll reaches 70+. US tourists issued shelter-in-place warnings.
MEX-019,2026-02-24,policy,government,CJNG,main,civilian,Federal,Mexico City,urban,19.4326,-99.1332,0,0,0,0,0,0,0,unknown,0,0,yes,White House,yes,https://www.cnn.com/2026/02/24/americas/mexico-cartels-us-tourists-latam-intl,Mexican President Sheinbaum consolidates power post El Mencho killing. US increases pressure on Mexico for military cooperation against cartels.
MEX-020,2026-02-22,mass_violence,major_outlet,CJNG,main,civilian,Multiple,Multiple,urban,19.4326,-99.1332,30,10,5,15,0,0,0,unknown,0,0,no,none,no,https://www.cfr.org/global-conflict-tracker/conflict/criminal-violence-mexico,"CJNG sets fire to vehicles, blocks highways, forces civilian lockdowns across major Mexican cities in coordinated retaliation for El Mencho killing."
MEX-021,2024-10-23,operation,major_outlet,Sinaloa,Los Chapitos,military,Sinaloa,Culiacan,urban,24.8091,-107.394,19,0,0,19,0,0,0,unknown,0,0,no,none,no,https://www.aljazeera.com/news/2024/10/23/sinaloa-shootout-mexico-troops-kill-19-suspected-cartel-members,Mexican troops kill 19 suspected Sinaloa cartel members in major shootout in Culiacan. Violence surge linked to El Mayo arrest fallout.
MEX-022,2024-10-25,mass_violence,major_outlet,Gulf Cartel,unknown,rival_cartel,Tamaulipas,Rio Bravo,border,25.987,-98.0939,8,0,0,8,0,0,0,unknown,0,30,yes,Texas DPS,no,https://www.newsweek.com/cartel-shootout-rio-grande-texas-1974774,"Gulf Cartel faction shootout near Rio Grande captured by Texas DPS thermal imaging. Heavy firepower and explosives used less than 1 mile from Donna, Texas."
MEX-023,2024-05-01,mass_violence,major_outlet,CJNG,main,rival_cartel,Chiapas,Tapachula,rural,14.9054,-92.2634,35,10,5,20,0,0,0,mixed,0,0,no,none,no,https://acleddata.com/report/conflict-watchlist-2024-mexico-confronting-deadly-political-and-criminal-power-struggles,"CJNG vs Sinaloa Cartel clash in Chiapas — armed interactions quadrupled vs 2022. Mexico deploys 1,500 army and police to restore order."
MEX-024,2025-02-27,arrest,government,CJNG,unknown,civilian,Michoacan,Apatzingan,rural,19.0858,-102.3521,0,0,0,0,2,0,0,unknown,0,0,no,none,no,https://www.freshfruitportal.com/news/2025/02/28/two-alleged-criminals-dedicated-to-extortion-of-lemon-and-avocado-growers-captured-in-michoacan/,"Mexican SSP arrests 2 cartel members extorting avocado and lemon growers in Apatzingan, Michoacan. Operation involved army, national guard, and state police."
MEX-025,2025-10-21,killing,major_outlet,CJNG,unknown,civilian,Michoacan,Uruapan,rural,19.4192,-102.0624,1,1,0,0,0,0,0,unknown,0,0,no,none,no,https://www.cbsnews.com/news/lime-growers-leader-killed-cartel-extortion-mexico/,President of lime growers association killed in his car after publicly complaining about CJNG extortion in Michoacan.
MEX-026,2024-12-22,mass_violence,major_outlet,Sinaloa,Los Chapitos,rival_cartel,Sinaloa,Culiacan,urban,24.8091,-107.394,250,50,20,180,0,300,0,mixed,0,0,no,none,no,https://www.theguardian.com/world/2024/dec/22/mexico-sinaloa-cartel-good-narco,End of 2024 report — Sinaloa civil war deepens as Chapitos vs Mayos conflict spreads. Myth of the 'good narco' collapses as civilian targeting surges.
MEX-027,2024-01-01,mass_violence,academic,Multiple,unknown,civilian,Guerrero,Chilpancingo,rural,17.5506,-99.5009,120,80,10,30,0,0,0,mixed,0,0,no,none,no,https://acleddata.com/report/conflict-watchlist-2024-mexico-confronting-deadly-political-and-criminal-power-struggles,La Familia Michoacana vs local groups intensifies in Guerrero. Fighting over gold mine access drives surge in violence. ACLED 2024 watchlist flags Guerrero as high-risk.
MEX-028,2026-02-22,mass_violence,major_outlet,CJNG,main,civilian,Jalisco,Puerto Vallarta,coastal,20.6534,-105.2253,5,3,0,2,25,0,0,unknown,0,0,yes,US State Department,yes,https://www.bbc.com/news/articles/c795qgejzpxo,CJNG sets vehicles ablaze in Puerto Vallarta after El Mencho killing. 300 tourists stranded at airport. US State Dept issues shelter-in-place advisory for Americans.
MEX-029,2026-02-22,mass_violence,major_outlet,CJNG,main,civilian,Jalisco,Guadalajara,urban,20.6597,-103.3496,3,2,1,0,14,0,0,unknown,0,0,no,none,no,https://www.bbc.com/news/articles/c795qgejzpxo,"CJNG blocks roads and burns banks and pharmacies in Guadalajara — FIFA 2026 World Cup host city. Jalisco governor declares code red, suspends all public transport."
MEX-030,2026-02-03,policy,academic,Multiple,unknown,government_official,Federal,Mexico City,urban,19.4326,-99.1332,0,0,0,0,0,0,0,unknown,0,0,no,none,no,https://www.visionofhumanity.org/the-organised-crime-landscape-in-mexico-2024/,Mexico Peace Index 2024 report: organized crime rate rose 62.4% over 9 years. ~400 active criminal groups operating across Mexico.
MEX-031,2025-10-27,killing,major_outlet,Sinaloa,unknown,civilian,Durango,Durango City,rural,24.0277,-104.6532,1,1,0,0,0,0,0,unknown,0,0,no,none,no,https://www.cbsnews.com/news/journalist-killed-mexico-miguel-angel-beltran-covered-drug-cartels/,Journalist Miguel Angel Beltran found dead on Durango-Sinaloa highway wrapped in blanket with cartel note. 13th journalist killed in Mexico in 2025.
MEX-032,2026-02-25,killing,government,CJNG,main,civilian,Sinaloa,Culiacan,urban,24.8091,-107.394,2,2,0,0,0,0,0,unknown,0,0,no,none,no,https://rsf.org/en/mexico-criminal-groups-attack-journalists-after-death-cartel-leader-government-must-ensure-justice,"After El Mencho killing, CJNG attacks journalists Belizario Reyes and Juvencio Villanueva from Noroeste newspaper in Sinaloa while they were on assignment."
MEX-033,2025-11-02,killing,major_outlet,Multiple,unknown,government_official,Michoacan,Aquila,rural,18.5884,-103.4966,1,0,0,0,0,0,0,unknown,0,0,no,none,no,https://www.abc.net.au/news/2025-11-03/carlos-alberto-manzo-rodriguez-killed-during-festivities/105965498,Anti-crime mayor Carlos Alberto Manzo Rodriguez killed by cartel gunmen during Day of the Dead festivities in Michoacan.
MEX-034,2025-05-13,territorial_shift,academic,Sinaloa,Los Chapitos,rival_cartel,Baja California,Tijuana,border,32.5027,-117.0037,0,0,0,0,0,0,0,mixed,0,0,no,none,no,https://acleddata.com/report/how-sinaloa-cartel-rift-redrawing-mexicos-criminal-map,"ACLED report: Sinaloa Cartel rift redrawing Mexico criminal map. Tijuana clashes rise 16% as Chapitos, CJNG and Tijuana Cartel contest key US border corridor."
MEX-035,2025-05-13,territorial_shift,academic,CJNG,main,rival_cartel,Colima,Manzanillo,coastal,19.105,-104.3194,0,0,0,0,0,0,0,mixed,0,0,no,none,no,https://acleddata.com/report/how-sinaloa-cartel-rift-redrawing-mexicos-criminal-map,CJNG intensifies dispute with Sinaloa Cartel over Manzanillo port — key hub for Pacific drug trafficking. Leveraging Sinaloa internal war to expand.
MEX-036,2024-09-09,mass_violence,academic,Sinaloa,Los Mayos,rival_cartel,Sinaloa,Culiacan,urban,24.8091,-107.394,60,15,5,40,0,20,0,mixed,0,0,no,none,no,https://acleddata.com/report/how-sinaloa-cartel-rift-redrawing-mexicos-criminal-map,"Full-scale Sinaloa Cartel civil war erupts on Sep 9, 2024. ACLED marks this as official outbreak date — gang clashes and civilian targeting reach record highs never seen since 2018."
MEX-037,2025-09-15,policy,academic,Multiple,unknown,government_official,Federal,Mexico City,urban,19.4326,-99.1332,0,0,0,0,0,0,0,unknown,0,0,no,none,yes,https://www.visionofhumanity.org/mexicos-organised-criminal-landscape-2025/,Mexico Peace Index 2025: ~400 active criminal groups in Mexico. Organized crime undermines regional stability. Trump pressure accelerating kingpin-style strategy risks.
MEX-038,2025-03-01,operation,government,Sinaloa,Los Mayos,cartel_member,Nuevo Leon,Monterrey,urban,25.6866,-100.3161,4,0,0,4,8,0,230,fentanyl,1200000,45,yes,DEA,yes,https://acleddata.com/report/how-sinaloa-cartel-rift-redrawing-mexicos-criminal-map,Mexico government intelligence-driven operation in Nuevo Leon destroys Sinaloa narco labs and surveillance systems. Part of Q1 2025 security surge along US border states.
MEX-039,2025-12-05,operation,major_outlet,CJNG,main,civilian,Michoacan,Uruapan,rural,19.4192,-102.0624,0,0,0,0,5,0,0,unknown,3500000,12,no,none,no,https://www.nytimes.com/2025/12/05/opinion/mexico-sheinbaum-cartels-extortion-trump.html,Mexico federal forces raid CJNG avocado extortion ring in Uruapan. Cartel taxing avocado farms up to 30% of harvest value — affecting US consumer prices.
MEX-040,2026-02-22,policy,major_outlet,CJNG,main,government_official,Federal,Mexico City,urban,19.4326,-99.1332,0,0,0,0,0,0,0,unknown,0,0,yes,White House,yes,https://www.nytimes.com/2026/02/22/world/americas/jalisco-new-generation-cartel-leader-killed.html,El Mencho killing declared major victory for Mexico's new cartel offensive. Helps reduce Trump pressure on Sheinbaum government. Could shift CJNG into fragmented post-leadership phase.
